Kód,Název,Popis,Určuje,Subjekty,Skupina,Předpisy,Verze,Aktualizace,Status,Agendy
"P209","Kontrola ve věcech legislativy k EG a ISVS","Digitální a informační agentura kontroluje dodržování povinností stanovených legislativou k ISVS","§ 4 odst. 2 písm a) zákona 365/2000","[""Digitální a informační agentura""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P210","Posouzení souladu ISVS/UIS s legislativou a požadavky a IK","Digitální a informační agentura posuzuje, zda informační systémy veřejné správy splňují požadavky kladené na ně právními předpisy, informační koncepcí orgánu veřejné správy a provozní dokumentací a Informační koncepcí České republiky","§ 4 odst. 2 písm h) zákona 365/2000","[""Digitální a informační agentura""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P211","Provozovat a rozvíjet informační systémy podle IK","OVS musí provádět pořizování, rozvoj a provoz informačních systémů, a to zejména u informačních systémů veřejné správy, v souladu s jejich platnou IK OVS a v ní uvedenými obecnými principy.","§ 5 a § 5a a související zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P212","Provozovat a rozvíjet informační systémy podle NAP","Protože správci ISVS/UIS musí realizovat pořizování a provoz a rozvoj a integraci svých IS v souladu s IKČR, platí i povinnost souladu s Národním architektonickým plánem, který je součástí IKČR.","§ 5 a § 5a a související zákona 365/2000, IKČR, NAP","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P213","Spolupracovat s DIA na plnění úkolů k ISVS","Orgány veřejné správy jsou povinny spolupracovat s DIA při plnění jeho úkolů podle zákona o ISVS","§ 5 odst. 2 písm a) zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","04.10.2023 0:00","Platné","[""(doplnit)""]"
"P214","Požádat o stanovisko OHA před spuštěním či změnou služeb UIS","Orgány veřejné správy a Správci určených informačních systémů jsou povinni předložit Digitální  informační agentuře před zahájením poskytování služby informačního systému veřejné správy jimi spravovaným určeným informačním systémem provozní dokumentaci určeného informačního systému k posouzení, zda určený informační systém splňuje požadavky kladené na něj právními předpisy upravujícími informační nebo komunikační technologie, informační koncepcí orgánu veřejné správy a provozní dokumentací, a jde-li o informační systém veřejné správy spravovaný orgánem veřejné správy, pro něhož jsou závazná usnesení vlády, rovněž informační koncepcí České republiky a jinými usneseními vlády týkajícími se informačních nebo komunikačních technologií.","§ 5 odst. 2 písm. c) zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","4","04.10.2023 0:00","Platné","[""(doplnit)""]"
"P215","Nechat si OHA posoudit na jeho žádost dokumentaci a provedení ISVS/UIS","Orgány veřejné správy jsou povinni předložit agentuře na žádost agentury provozní dokumentaci určeného informačního systému k posouzení, zda určený informační systém odpovídá jeho projektu nebo projektu jeho architektonických změn, v podobě, v jaké k nim bylo učiněno souhlasné vyjádření Agentury nebo souhlasné rozhodnutí vlády; část věty před středníkem se použije pouze v případě určených informačních systémů spravovaných státními orgány nebo státními právnickými osobami anebo určených informačních systémů spravovaných orgány územních samosprávných celků, které slouží k výkonu přenesené působnosti","§ 5 odst. 2 písm. c) zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","4","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P216","Zajištění vazeb UIS/ISVS pouze referenčním rozhraním","OVS a správci určených informačních systémů jsou povinni zajistit, aby vazby, jimi spravovaného informačního systému veřejné správy, s výjimkou provozního informačního systému uvedeného v § 1 odst. 4 písm. a) až d) na informační systémy veřejné správy jiného správce, byly uskutečňovány prostřednictvím referenčního rozhraní.","§ 5 odst. 2 písm d) zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P217","Požádat o stanovisko OHA u projektů UIS","OVS a správci určených informačních systémů jsou povinni předložit Digitální informační agentuře k vyjádření a v případě určených informačních systémů spravovaných orgány územních samosprávných celků, které slouží výlučně k výkonu samostatné působnosti, na vědomí projekty určených informačních systémů; část věty před středníkem se nepoužije v případě technického zhodnocení určeného informačního systému spočívajícího jen ve změnách nemajících vliv na vnitřní vazby tohoto určeného informačního systému nebo na vazby na jiné informační systémy veřejné správy","§ 5 odst. 2 písm. f) zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","4","05.10.2023 0:00","Platné","[""(doplnit)""]"
"P218","Požádat o stanovisko OHA k programům a projektům ISVS","Orgány veřejné správy jsou povinni předložit agentuře k vyjádření návrhy dokumentací programů obsahujících pořízení nebo architektonické změny určených informačních systémů a investiční záměry akcí pořízení nebo architektonických změn určených informačních systémů.","§ 5 odst. 2 písm. b) zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P219","Vydávat provozní dokumentaci svých informačních systémů","OVS a správci ISVS, na základě informační koncepce, vydávají provozní dokumentaci svých informačních systémů. Struktura provozní dokumentace je stanovena vyhláškou o dlouhodobém řízení.","§ 5 odst. 3 zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P222","Zpracovat a schválit Informační koncepci ČR","Rada vlády pro informační společnost vytváří a předkládá vládě ke schválení informační koncepci České republiky. Informační koncepce České republiky stanoví cíle České republiky v oblasti informačních systémů veřejné správy a obecné principy pořizování, architektonických změn, vytváření, správy, provozování, užívání a rozvoje informačních systémů veřejné správy v České republice na období 5 let.","§ 5a odst. 1 a § 3 písm. a) zákona 365/2000","[""Digitální a informační agentura""]","Povinnosti k ISVS","[""Zákon 365/2000""]","4","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P223","Vydávat a realizovat svoji informační koncepci","Orgány veřejné správy vytvářejí a vydávají informační koncepci orgánu veřejné správy, uplatňují ji v praxi a vyhodnocují její dodržování. V informační koncepci orgánu veřejné správy ,orgány veřejné správy stanoví své dlouhodobé cíle v oblasti řízení kvality a bezpečnosti spravovaných informačních systémů veřejné správy, a vymezí obecné principy pořizování, vytváření, správy a provozování svých informačních systémů veřejné správy. Obsah a strukturu informační koncepce orgánu veřejné správy, jakož i postupy orgánů veřejné správy při jejím vytváření, vydávání a při vyhodnocování jejího dodržování a požadavky na řízení bezpečnosti a kvality informačních systémů veřejné správy, stanoví prováděcí právní předpis.","§ 5a odst. 2 zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P224","Zajistit si atestaci dlouhodobého řízení ISVS","Orgány veřejné správy si zajistí atestaci dlouhodobého řízení informačních systémů veřejné správy s výjimkou provozních informačních systémů uvedených v § 1 odst. 4 písm. a) až d) a prokáží splnění povinností podle odstavců 2 a 3 atestem dlouhodobého řízení informačních systémů veřejné správy.","§ 5a odst. 4 zákona 365/2000","[""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","04.12.2023 0:00","Platné","[""A7884 Dlouhodobé řízení informačních systémů veřejné správy""]"
"P225","Vyhodnocovat plnění svojí informační koncepce","Orgány veřejné správy vytvářejí a vydávají informační koncepci orgánu veřejné správy, uplatňují ji v praxi a vyhodnocují její dodržování.","§ 5a odst. 2 zákona 365/2000","[""(doplnit)""]","Povinnosti k ISVS","[""(doplnit)""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P225","Vyhodnocovat plnění svojí informační koncepce","Orgány veřejné správy vytvářejí a vydávají informační koncepci orgánu veřejné správy, uplatňují ji v praxi a vyhodnocují její dodržování.","§ 5a odst. 2 zákona 365/2000","[""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P226","Dlouhodobé řízení informačních systémů veřejné správy","Podle § 5 a § 5a zákona o ISVS se správcům IS a orgánům veřejné správy stanovují povinnosti dlouhodobého řízení IS. Podrobnosti k jednotlivým krokům a výstupům stanoví vyhláška o dlouhodobém řízení.","§ 5a zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P227","Zajištění bezpečnosti a integrity informačních činností","Orgány veřejné správy uplatňují opatření odpovídající bezpečnostním požadavkům na zajištění důvěrnosti, integrity a dostupnosti informací zpracovávaných v informačních systémech veřejné správy.","§ 5b odst. 1 zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P228","Fungování informačních systémů veřejné správy výhradně v CMS","Orgány veřejné správy zajistí, aby jimi spravované informační systémy veřejné správy s výjimkou provozních informačních systémů uvedených v § 1 odst. 4 písm. a) až d) uskutečňovaly vazbu mezi informačními systémy veřejné správy na informační systémy veřejné správy spravované jinými orgány veřejné správy nebo na informační systémy soukromoprávních uživatelů údajů prostřednictvím centrálního místa služeb.","§ 6h odst. 4 zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P229","Vydávat a realizovat provozní dokumentaci k ISVS","Na základě vydané informační koncepce orgánu veřejné správy orgány veřejné správy vytvářejí a vydávají provozní dokumentaci k jednotlivým informačním systémům veřejné správy, uplatňují ji v praxi a vyhodnocují její dodržování.","§ 5a odst. 3 zákona 365/2000","[""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","04.12.2023 0:00","Platné","[""A7884 Dlouhodobé řízení informačních systémů veřejné správy""]"
"P230","Vyhodnocování dodržování provozní dokumentace k ISVS","Na základě vydané informační koncepce orgánu veřejné správy orgány veřejné správy vytvářejí a vydávají provozní dokumentaci k jednotlivým informačním systémům veřejné správy, uplatňují ji v praxi a vyhodnocují její dodržování.","§ 5a odst. 3 zákona 365/2000","[""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","04.12.2023 0:00","Platné","[""A7884 Dlouhodobé řízení informačních systémů veřejné správy""]"
"P234","Poskytnout výpis z veřejných systémů a evidencí","Z informačních systémů veřejné správy nebo jejich částí, které jsou veřejnými evidencemi, rejstříky nebo seznamy, vydávají orgány veřejné správy, které jsou správci těchto systémů, na požádání úplný nebo částečný výpis ze zápisu vedeného v elektronické podobě v tomto informačním systému.","§ 9 odst 1 zákona 365/2000","[""(doplnit)"",""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P236","Poskytnout výpis subjektu z neveřejných systémů a evidencí","Z informačních systémů veřejné správy nebo jejich částí, které jsou neveřejnými evidencemi, rejstříky nebo seznamy, vydávají správci, pokud tak stanoví zvláštní právní předpis, na požádání úplný nebo částečný výpis ze zápisu vedeného v elektronické podobě v tomto informačním systému osobě, které se zápis přímo týká, nebo osobě, která je podle zvláštního právního předpisu oprávněna žádat informaci uvedenou v zápisu, a to v rozsahu tímto zvláštním právním předpisem stanoveném. Zvláštním právním předpisem podle tohoto ustanovení se rozumí také § 9, odst 4, zákona o informačních systémech veřejné správy a zákon o zpracování osobních údajů.","§ 9 odst 1 zákona 365/2000","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správci informačních systémů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P239","Uvést IK OVS do souladu s IKČR","Orgány veřejné správy uvedou své informační koncepce do souladu s informační koncepcí České republiky podle § 5a odst. 1 zákona č. 365/2000 Sb., ve znění účinném ode dne nabytí účinnosti tohoto zákona, do 24 měsíců ode dne jejího schválení vládou. Tedy do října 2019.","Zákon 365/2000, Čl 2 zákona 104/2017","[""Orgány veřejné moci"",""Orgány veřejné správy"",""Správa základních registrů""]","Povinnosti k ISVS","[""Zákon 365/2000""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P301","Poskytovat kvalifikovanou službu vytvářející důvěru","Kvalifikovaný poskytovatel služeb vytvářejících důvěru poskytuje kvalifikovanou službu vytvářející důvěru na základě písemné smlouvy.","§ 2 zákona 297/2016","[""Kvalifikovaní poskytovatelé EID"",""Kvalifikovaní poskytovatelé QTSP""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P302","Uchovávat dokumenty související s vydáváním kvalifikovaných certifikátů a elektronických časových razítek","Kvalifikovaný poskytovatel služeb vytvářejících důvěru uchovává po dobu 10 let dokumenty související s vydáváním kvalifikovaných certifikátů pro elektronické podpisy nebo elektronické pečetě, kvalifikovaných certifikátů pro autentizaci internetových stránek a kvalifikovaných elektronických časových razítek.","§ 3 odst. 1 zákona 297/2016","[""Kvalifikovaní poskytovatelé EID"",""Kvalifikovaní poskytovatelé QTSP""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P303","Uchovávat údaje na základě kterých byla ověřena totožnost žadatele o vydání kvalifikovaného certifikátu","Po uplynutí doby 10 let od vydání dokumentů souvisejících s vydáváním kvalifikovaných certifikátů a kvalifikovaných elektronických časových razítek kvalifikovaný poskytovatel služeb vytvářejících důvěru uchovává po dobu následujících 15 let údaje, na základě kterých byla ověřena totožnost žadatele o vydání kvalifikovaného certifikátu pro elektronické podpisy nebo elektronické pečetě nebo totožnost fyzické osoby oprávněné jednat za právnickou osobu žádající o vydání kvalifikovaného certifikátu pro elektronickou pečeť.","§ 3 odst. 2 zákona 297/2016","[""Kvalifikovaní poskytovatelé EID"",""Kvalifikovaní poskytovatelé QTSP""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P304","Zajistit převzetí evidence při zániku","Kvalifikovaný poskytovatel služeb vytvářejících důvěru, který po ukončení své činnosti nemůže splnit povinnost vést a zpřístupnit evidenci podle čl. 24 odst. 2 písm. h) nařízení Evropského parlamentu a Rady (EU) č. 910/2014, zajistí bezodkladně po ukončení své činnosti převzetí této evidence jiným kvalifikovaným poskytovatelem služeb vytvářejících důvěru. Nemůže-li zajistit toto převzetí, předá evidenci bezodkladně Digitální a informační agentuře.","§ 4 odst. 1 a 2 zákona 297/2016","[""Kvalifikovaní poskytovatelé EID"",""Kvalifikovaní poskytovatelé QTSP""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","3","05.10.2023 0:00","Platné","[""(doplnit)""]"
"P305","Podepisovat elektronické dokumenty kvalifikovaným elektronickým podpisem","K podepisování elektronickým podpisem lze použít pouze kvalifikovaný elektronický podpis, podepisuje-li elektronický dokument, kterým právně jedná a) stát, územní samosprávný celek, právnická osoba zřízená zákonem nebo právnická osoba zřízená nebo založená státem, územním samosprávným celkem nebo právnickou osobou zřízenou zákonem (dále jen „veřejnoprávní podepisující“), nebo b) osoba neuvedená v písmenu a) při výkonu své působnosti.","§ 5 zákona 297/2016","[""Veřejnoprávní původci""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P306","Podepisovat elektronické dokumenty uznávaným elektronickým podpisem","K podepisování elektronickým podpisem lze použít pouze uznávaný elektronický podpis, podepisuje-li se elektronický dokument, kterým se právně jedná vůči veřejnoprávnímu podepisujícímu nebo jiné osobě v souvislosti s výkonem jejich působnosti. Uznávaným elektronickým podpisem se rozumí zaručený elektronický podpis založený na kvalifikovaném certifikátu pro elektronický podpis nebo kvalifikovaný elektronický podpis.","§ 6 odst. 1 zákona 297/2016","[""Podepisující osoby"",""Soukromoprávní subjekty""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P307","Opatřit elektronický dokument kvalifikovanou elektronickou pečetí","Nestanoví-li jiný právní předpis jako náležitost právního jednání obsaženého v dokumentu podpis nebo tato náležitost nevyplývá z povahy právního jednání, veřejnoprávní podepisující a jiná právnická osoba, jedná-li při výkonu své působnosti, zapečetí dokument v elektronické podobě kvalifikovanou elektronickou pečetí.","§ 8 zákona 297/2016","[""Veřejnoprávní původci""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P308","Opatřit elektronický dokument uznávanou elektronickou pečetí","K pečetění elektronickou pečetí lze použít pouze uznávanou elektronickou pečeť, pečetí-li se elektronický dokument, kterým se právně jedná vůči veřejnoprávnímu podepisujícímu nebo jiné osobě v souvislosti s výkonem jejich působnosti. Uznávanou elektronickou pečetí se rozumí zaručená elektronická pečeť založená na kvalifikovaném certifikátu pro elektronickou pečeť nebo kvalifikovaná elektronická pečeť.","§ 9 odst. 1 zákona 297/2016","[""Podepisující osoby"",""Soukromoprávní subjekty""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P309","Opatřit podepsaný elektronický dokument kvalifikovaným elektronickým časovým razítkem","Veřejnoprávní podepisující, který podepsal elektronický dokument, kterým právně jedná a osoba, která podepsala elektronický dokument, kterým právně jedná při výkonu své působnosti, opatří podepsaný elektronický dokument kvalifikovaným elektronickým časovým razítkem.","§ 11 odst. 1 zákona 297/2016","[""Veřejnoprávní původci""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P310","Opatřit zapečetěný elektronický dokument kvalifikovaným elektronickým časovým razítkem","Veřejnoprávní podepisující, který zapečetil elektronický dokument, kterým právně jedná, a osoba, která zapečetila elektronický dokument, kterým právně jedná při výkonu své působnosti, opatří zapečetěný elektronický dokument kvalifikovaným elektronickým časovým razítkem.","§ 11 odst. 2 zákona 297/2016","[""Veřejnoprávní původci""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P311","Plnit úkoly orgánu dohledu EIDAS","DIA plní úkoly orgánu dohledu podle nařízení EU 910/2014 EIDAS a implementačního národního zákona 297/2016 a nařízení Evropského parlamentu a Rady (EU) č. 910/2014. ","§ 13 odst. 1 zákona 297/2016","[""Digitální a informační agentura""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P312","Zveřejňovat seznamy týkající se kvalifikovaných poskytovatelů služeb vytvářejících důvěru a jimi poskytovaných kvalifikovaných službách vytvářejících důvěru","DIA zveřejňuje způsobem umožňujícím dálkový přístup důvěryhodné seznamy obsahující informace týkající se kvalifikovaných poskytovatelů služeb vytvářejících důvěru spolu s informacemi o jimi poskytovaných kvalifikovaných službách vytvářejících důvěru.","§ 13 odst. 3 zákona 297/2016","[""Digitální a informační agentura""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P313","Vést seznam certifikátů, na jejichž základě kvalifikovaní poskytovatelé služeb vytvářejících důvěru podepisují vydané kvalifikované certifikáty nebo vydaná kvalifikovaná elektronická časová razítka.","DIA vede seznam certifikátů, na jejichž základě kvalifikovaní poskytovatelé služeb vytvářejících důvěru podepisují zaručeným elektronickým podpisem nebo pečetí zaručenou elektronickou pečetí vydané kvalifikované certifikáty nebo vydaná kvalifikovaná elektronická časová razítka. Seznam certifikátů DIA zveřejňuje způsobem umožňujícím dálkový přístup.","§ 13 odst. 4 zákona 297/2016","[""Digitální a informační agentura""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P314","Plnit povinnosti v případě převzetí závazku zaniklého poskytovatele QTSP","DIA plní povinnost podle čl. 24 odst. 2 písm. h) nařízení Evropského parlamentu a Rady (EU) č. 910/2014 v případě převzetí evidence od zaniklého poskytovatele služeb vytvářejícího důvěru.","§ 13 odst. 5 zákona 297/2016","[""Digitální a informační agentura""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P315","Vyrozumět Úřad pro ochranu osobních údajů z titulu orgánu dohledu","DIA bezodkladně vyrozumí Úřad pro ochranu osobních údajů o zjištěních učiněných v souvislosti s plněním úkolů orgánu dohledu podle zákona 297/2016 a nařízení Evropského parlamentu a Rady (EU) č. 910/2014, pokud se týkají působnosti tohoto úřadu.","§ 13 odst. 6 zákona 297/2016","[""Digitální a informační agentura""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P316","Vést evidenci certifikátů a osob nebo jejich součástí, kterým byl certifikát vydán","Poskytuje-li Správa státních služeb vytvářejících důvěru službu vytvářející důvěru, jejímž předmětem je certifikát, který není certifikátem pro elektronický podpis, certifikátem pro elektronickou pečeť nebo certifikátem pro autentizaci internetových stránek, vede evidenci certifikátů a osob nebo jejich součástí, kterým byl certifikát vydán. Evidence obsahuje údaje dle § 15 odst. 2 písm. a) až d) zákona 297/2016.","§ 15 odst. 1 zákona 297/2016","[""Státní správa služeb vytvářeicích důvěru""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P317","Zveřejnit údaje o certifikátech a osobách kterým byly vydány","Vede-li Správa státních služeb vytvářejících důvěru evidenci certifikátů a osob nebo jejich součástí, kterým byl certifikát vydán, zveřejní údaje o certifikátech v rozsahu identifikátor, počátek a konec platnosti, datum a čas aktivace a datum a čas zneplatnění způsobem umožňujícím dálkový přístup. ","§ 15 odst. 3 zákona 297/2016","[""Státní správa služeb vytvářeicích důvěru""]","Povinnosti k EID a důvěryhodnosti","[""Zákon 297/2016""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
